PC1,PC2,species
3.578272330264634,1.8177704339620315,Gentoo penguin (Pygoscelis papua)
-0.023543886752853384,0.18043761009384657,Adelie Penguin (Pygoscelis adeliae)
2.0605382768597016,-1.4709677526718172,Gentoo penguin (Pygoscelis papua)
2.986572178775394,1.213273836185854,Gentoo penguin (Pygoscelis papua)
2.3056323334486253,-1.145312614808455,Gentoo penguin (Pygoscelis papua)
-1.4895296667694433,2.507661331481783,Chinstrap penguin (Pygoscelis antarctica)
2.5595751443638397,1.1744666351529645,Gentoo penguin (Pygoscelis papua)
2.3371414285160323,-1.391084286612465,Gentoo penguin (Pygoscelis papua)
-1.7159829564514844,0.0570520055202914,Adelie Penguin (Pygoscelis adeliae)
-0.7365476536900643,0.8606393407444713,Adelie Penguin (Pygoscelis adeliae)
1.987046906390911,-1.7155479468562518,Gentoo penguin (Pygoscelis papua)
-0.5678212255729842,0.3003710900208072,Adelie Penguin (Pygoscelis adeliae)
2.8028027244629556,1.5670466423881546,Gentoo penguin (Pygoscelis papua)
-1.7917465486395658,2.1857810274795755,Chinstrap penguin (Pygoscelis antarctica)
2.258940165882325,-1.741804427797763,Gentoo penguin (Pygoscelis papua)
-0.12124293541390305,-1.7206283648836114,Adelie Penguin (Pygoscelis adeliae)
-1.2164646309275178,0.3335789400239505,Adelie Penguin (Pygoscelis adeliae)
-1.7495289446798323,1.1490271808524355,Adelie Penguin (Pygoscelis adeliae)
0.5478313505210363,0.6169885369766044,Adelie Penguin (Pygoscelis adeliae)
-2.2327760313746268,-0.34476975633010165,Chinstrap penguin (Pygoscelis antarctica)
-1.8209530872855633,-1.5530640847108004,Adelie Penguin (Pygoscelis adeliae)
0.6803540678392318,0.4938983362462993,Adelie Penguin (Pygoscelis adeliae)
-1.7296647517704267,2.2835445458801327,Chinstrap penguin (Pygoscelis antarctica)
2.3294266734644613,-1.0366740031435404,Gentoo penguin (Pygoscelis papua)
-1.685169618772707,-1.7331696945785096,Adelie Penguin (Pygoscelis adeliae)
-2.4460751567814474,-0.8484452113229713,Chinstrap penguin (Pygoscelis antarctica)
-1.102721086180904,-1.7700061950389867,Adelie Penguin (Pygoscelis adeliae)
0.2266028988489593,1.2076041648417544,Adelie Penguin (Pygoscelis adeliae)
0.07497190800159052,-2.3472907063395994,Adelie Penguin (Pygoscelis adeliae)
-1.8059063755619125,-1.6107988064341703,Adelie Penguin (Pygoscelis adeliae)
-0.023588317951940475,0.16455649102565034,Adelie Penguin (Pygoscelis adeliae)
0.659531207929774,0.8784709412332067,Adelie Penguin (Pygoscelis adeliae)
2.8984620063715094,1.19603801177003,Gentoo penguin (Pygoscelis papua)
2.437273553633322,-1.430512295718204,Gentoo penguin (Pygoscelis papua)
2.4170589155112685,-1.225189350532581,Gentoo penguin (Pygoscelis papua)
-2.4841586055470426,3.4917560662216465,Chinstrap penguin (Pygoscelis antarctica)
-2.699337965958722,-1.015114516650671,Adelie Penguin (Pygoscelis adeliae)
2.4546124666753295,-1.0008039852127175,Gentoo penguin (Pygoscelis papua)
-2.2470633108995797,1.1824512229875754,Adelie Penguin (Pygoscelis adeliae)
2.3237383572824,-0.8527847897928028,Gentoo penguin (Pygoscelis papua)
-1.5134495502229552,0.41835396162622385,Adelie Penguin (Pygoscelis adeliae)
-2.015761941918004,-1.6906935191743644,Adelie Penguin (Pygoscelis adeliae)
-1.961948862464748,-1.7116558030317468,Adelie Penguin (Pygoscelis adeliae)
2.3812571909651945,-1.2951891445416444,Gentoo penguin (Pygoscelis papua)
2.7881855709083516,1.8805241676591025,Gentoo penguin (Pygoscelis papua)
3.099833155899118,1.45449215724779,Gentoo penguin (Pygoscelis papua)
-2.2657078047986277,1.6778782056001333,Adelie Penguin (Pygoscelis adeliae)
-1.5889189178314955,0.07016708740012263,Adelie Penguin (Pygoscelis adeliae)
3.2678684302207417,1.5818324614176362,Gentoo penguin (Pygoscelis papua)
3.0808967101515976,1.3445873600414049,Gentoo penguin (Pygoscelis papua)
-1.1685315829478538,1.848457762339598,Chinstrap penguin (Pygoscelis antarctica)
-0.3394283396973465,-3.2576444433461176,Adelie Penguin (Pygoscelis adeliae)
-1.910337616333573,1.0707429349692192,Adelie Penguin (Pygoscelis adeliae)
-2.413096629266873,-0.36012011790342613,Chinstrap penguin (Pygoscelis antarctica)
-0.6127964455618096,-3.392094962296949,Adelie Penguin (Pygoscelis adeliae)
2.1892305193148016,-1.490248002790943,Gentoo penguin (Pygoscelis papua)
-1.7421633661361193,2.192210500936911,Chinstrap penguin (Pygoscelis antarctica)
-2.0102821799676867,-0.37706124179058076,Chinstrap penguin (Pygoscelis antarctica)
-1.3896465815775343,-2.587558178486049,Adelie Penguin (Pygoscelis adeliae)
3.2660656143817635,1.5254675125059902,Gentoo penguin (Pygoscelis papua)
-2.352292560776382,-0.07756847786672598,Chinstrap penguin (Pygoscelis antarctica)
2.59253552128834,-1.30338316720192,Gentoo penguin (Pygoscelis papua)
-2.3408638545089704,-1.140527994659199,Chinstrap penguin (Pygoscelis antarctica)
-2.949464855918642,0.6657139488160434,Chinstrap penguin (Pygoscelis antarctica)
-1.0091383755174124,-1.6219163771755587,Adelie Penguin (Pygoscelis adeliae)
3.186101622899139,1.378060600495211,Gentoo penguin (Pygoscelis papua)
-2.172617093646626,1.4784427009435621,Adelie Penguin (Pygoscelis adeliae)
-0.4062995171330186,0.13962620588567914,Adelie Penguin (Pygoscelis adeliae)
-2.4777522666456044,-1.3594088783248022,Adelie Penguin (Pygoscelis adeliae)
